N!DIST!INFO
20!StudentT', 0.1, 0.0, 0.1]!0.2867343812154104
20!StudentT', 0.1, 0.0, 0.1]!0.2867343812154104
20!StudentT', 15.678344246201817, -91.45460511937145, 36.47412960728744]!0.021724045831117422
20!Cauchy', 0.0, 0.1]!1.773876160794316
20!Cauchy', -91.01646667707027, 5.498614469739275]!0.02799581400912121
20!Cauchy', 0.0, 0.1]!1.773876160794316
20!Cauchy', -33.064159753020824, 7.423297486155888]!0.035607619622291864
20!Beta', 0.1, 0.1]!2.6707523861457503
20!Beta', 10.420228409991608, 29.294203334215126]!4.431755714273362
20!Normal', 0.0, 0.1]!4.050446608745943
20!Normal', 164.4183761850726, 63.39932731219827]!0.007667743778267955
20!Normal', 164.4183761850726, 26.295317295296886]!0.03615405351846057
20!Normal', 0.20485577214164336, 93.54662426709127]!0.010052085734505667
20!Normal', 52.4430776682607, 26.29531729529653]!0.0248949403605101
20!Normal', 25.427883074735476, 12.80122759583037]!0.13326955489081183
20!Normal', 25.427883074735476, 26.295317295296886]!0.0260733286791357
20!Cauchy', 109.53806713228025, 5.172862673479301]!0.024735840008606402
20!StudentT', 0.1, 0.0, 0.1]!0.2867343812154104
20!StudentT', 9.477640037124083, -62.450818939979825, 34.330181487129096]!0.018137557482752698
20!StudentT', 34.330181487129096, -62.450818939979825, 34.330181487129096]!0.01968395147874702
20!StudentT', 24.92646070504644, -87.40964863483245, 24.9264607050485]!0.01505337613424551
20!StudentT', 24.92646070504644, -87.40964863483245, 24.92646070504644]!0.015137014018624662
20!StudentT', 34.330181487129096, -6.591443939979815, 32.6157283621291]!0.039660872741832165
20!StudentT', 34.330181487129096, -6.591443939979815, 34.330181487129096]!0.02636611421104451
20!StudentT', 24.92646070504644, -87.40964863483245, 24.926460705046512]!0.016619006537412773
20!Logistic', 0.0, 0.1]!3.444692017780589
20!Logistic', 88.47289934541737, 30.12134670679244]!0.0025264933293236425
20!TruncatedNormal', -24.53111621342173, 123.67105042803604, 120, 127]!1.1505892710419365
20!Laplace', -25.006958267476904, 12.341026990497442]!0.07269563858332084
20!LogNormal', 10.077776348723283, 9.88791536915527]!0.0015529396763991343
20!LogNormal', 0.8107452731602578, 0.8107452731623044]!0.8683102456331584
20!LogNormal', 10.077776348723283, 10.077776348723283]!0.0001213442173426671
20!LogNormal', 0.8107452731602578, 0.8107452731602578]!0.886162975383936
20!Exponential', 0.1]!0.19248771499494133
20!Exponential', 26.97901043561225]!5.041632941681206
20!Laplace', 91.89542398566044, 44.61884536024208]!0.01637123451255551
20!Laplace', 91.89542398566044, 26.97901043561225]!0.02584119498962334
20!Laplace', -62.6142701645337, 31.344520812102328]!0.004673698609167332
20!Laplace', -62.6142701645337, 26.97901043561225]!0.017559748906847084
20!ChiSquared', 11]!0.5255565738423673
20!Gamma', 8.003861278953018, 8.014083298606762]!2.779774387838071
20!Gamma', 0.1, 0.1]!0.9717263698558423
20!Logistic', 186.28098993798602, 37.263057493061076]!0.00808265988253698
20!Gamma', 8.014083298606762, 8.014083298606762]!2.7858045310697235
20!Logistic', 87.93342412441298, 17.642718223634713]!0.01745119967016784
20!Logistic', 0.3434899401557169, 28.020337552311553]!0.008720172360047407
20!Logistic', 87.93342467986352, 17.64271822363287]!0.020290528701145227
20!StudentT', 17.642718223632773, -55.47835902259063, 8.81066288859817]!0.20035395357053076
20!Beta', 10.28416112370519, 19.89788694025047]!4.195202021788086
20!Beta', 10.28416112370519, 10.28416112370519]!3.962015031202191
20!Logistic', -54.84562191270518, 21.983403143596938]!0.013405094965639464
20!ChiSquared', 9]!0.5890256007602455
20!Logistic', 11.423382269919994, 24.25306161223565]!0.018519469004903755
20!Logistic', 0.4729217890866889, 39.866842372691174]!0.0077535269592710065
20!Logistic', 121.06797800619236, 24.25306161223551]!0.02062806235232273
20!Laplace', -96.70118479261896, 48.35389121156088]!0
20!Laplace', -96.70118479261896, 30.306460512545158]!0.007240977520416969
20!Uniform', -97, 91]!0.01345968183072177
20!Uniform', 0, 120]!0.02204857111686387
20!ChiSquared', 26]!0.30444748169166314
20!Laplace', 0.38092797162887504, 4.165416551580941]!0.3865303231075048
20!Laplace', 96.81252969447304, 14.946943691112898]!0.02454425901810353
20!Laplace', 96.81252969447304, 24.430631403882177]!0.020478695397959434
20!StudentT', 0.17599513033996056, -85.66460361667893, 38.72589168187978]!0.06108352018494134
20!StudentT', 0.17599513033996056, -85.66460361667893, 0.17599513033996056]!0.18735950069300866
20!StudentT', 3.3507038157931777, 13.169254715755278, 30.0252968559779]!0.014545679745129547
20!StudentT', 3.3507038157931777, 0.051442401233403615, 22.660645690843666]!0.032585024712744826
20!ChiSquared', 4]!0.8908056222017979
20!ChiSquared', 4]!0.8908056222017979
20!ChiSquared', 14]!0.45297918537420045
20!Logistic', 74.28981900193634, 21.814984099631463]!0.01874881300180853
20!Logistic', 74.28981900193634, 28.56883669532239]!0.043504310034681026
20!Logistic', -9.096832247848964, 3.7296360668917896]!0.35244337571312734
20!Logistic', -9.096832247848964, 28.56883669532239]!0.015572482717082892
20!Cauchy', -28.789055449334704, 26.322194002531944]!0.011046026590888047
20!TruncatedNormal', 139.9963900593666, 48.60538253561001, -93, 198]!0.022716986672876693
20!TruncatedNormal', 139.9963900593666, 131.47384915052973, 0, 1]!2.950915497031864
20!ChiSquared', 7]!0.669731844091122
20!Exponential', 40.30419908667974]!5.453257228627388
20!Normal', 161.13907449571036, 72.83165984716187]!0.007696738174059803
20!Exponential', 36.429427691425204]!5.329393503831408
20!ChiSquared', 39]!0.22333660047802528
